y,x,frame,t,vial,climbing,1
178.65,222.07,26,1.04,1,climbing,
62.71,236.37,26,1.04,1,climbing,
42.67,171.22,26,1.04,1,climbing,
31.55,242.08,26,1.04,1,climbing,
28.96,212.35,26,1.04,1,climbing,
180.63,219.1,27,1.08,1,climbing,
60.96,236.89,27,1.08,1,climbing,
42.67,171.25,27,1.08,1,climbing,
31.64,241.01,27,1.08,1,climbing,
28.57,212.09,27,1.08,1,climbing,
182.56,216.19,28,1.12,1,climbing,
70.31,234.89,28,1.12,1,climbing,
42.03,171.88,28,1.12,1,climbing,
31.73,240.01,28,1.12,1,climbing,
28.43,212.06,28,1.12,1,climbing,
184.84,216.1,29,1.16,1,climbing,
72.68,233.91,29,1.16,1,climbing,
41.9,171.8,29,1.16,1,climbing,
31.9,238.18,29,1.16,1,climbing,
28.41,211.08,29,1.16,1,climbing,
184.86,215.84,30,1.2,1,climbing,
75.66,233.14,30,1.2,1,climbing,
42.46,171.42,30,1.2,1,climbing,
31.94,237.39,30,1.2,1,climbing,
27.95,210.04,30,1.2,1,climbing,
188.78,214.09,31,1.24,1,climbing,
78.54,231.2,31,1.24,1,climbing,
42.47,171.31,31,1.24,1,climbing,
31.94,237.31,31,1.24,1,climbing,
28.0,210.14,31,1.24,1,climbing,
193.75,212.2,32,1.28,1,climbing,
80.65,229.31,32,1.28,1,climbing,
42.49,171.15,32,1.28,1,climbing,
31.88,238.04,32,1.28,1,climbing,
27.89,210.13,32,1.28,1,climbing,
194.67,210.88,33,1.32,1,climbing,
82.35,227.26,33,1.32,1,climbing,
42.5,171.05,33,1.32,1,climbing,
31.93,237.17,33,1.32,1,climbing,
27.72,209.29,33,1.32,1,climbing,
196.82,211.11,34,1.36,1,climbing,
82.65,225.54,34,1.36,1,climbing,
42.44,170.97,34,1.36,1,climbing,
31.95,237.06,34,1.36,1,climbing,
27.46,209.2,34,1.36,1,climbing,
201.71,211.1,35,1.4,1,climbing,
83.72,223.1,35,1.4,1,climbing,
42.44,170.95,35,1.4,1,climbing,
31.97,236.2,35,1.4,1,climbing,
26.86,207.99,35,1.4,1,climbing,
201.97,210.76,36,1.44,1,climbing,
84.61,221.02,36,1.44,1,climbing,
42.46,170.92,36,1.44,1,climbing,
31.94,236.11,36,1.44,1,climbing,
26.13,205.15,36,1.44,1,climbing,
209.39,210.91,37,1.48,1,climbing,
85.78,218.98,37,1.48,1,climbing,
42.41,170.87,37,1.48,1,climbing,
31.94,236.05,37,1.48,1,climbing,
25.5,203.11,37,1.48,1,climbing,
208.87,210.64,38,1.52,1,climbing,
87.64,215.48,38,1.52,1,climbing,
42.42,170.78,38,1.52,1,climbing,
31.97,235.07,38,1.52,1,climbing,
25.52,201.12,38,1.52,1,climbing,
212.83,210.73,39,1.56,1,climbing,
88.62,213.32,39,1.56,1,climbing,
42.41,170.69,39,1.56,1,climbing,
31.99,234.25,39,1.56,1,climbing,
25.01,200.01,39,1.56,1,climbing,
214.87,212.31,40,1.6,1,climbing,
89.72,210.42,40,1.6,1,climbing,
41.78,170.75,40,1.6,1,climbing,
32.08,233.2,40,1.6,1,climbing,
24.64,199.91,40,1.6,1,climbing,
217.83,212.23,41,1.64,1,climbing,
90.6,211.02,41,1.64,1,climbing,
41.71,170.75,41,1.64,1,climbing,
32.04,233.02,41,1.64,1,climbing,
24.17,199.29,41,1.64,1,climbing,
222.72,214.8,42,1.68,1,climbing,
90.76,211.0,42,1.68,1,climbing,
41.7,170.72,42,1.68,1,climbing,
31.98,232.17,42,1.68,1,climbing,
23.79,198.89,42,1.68,1,climbing,
225.72,215.96,43,1.72,1,climbing,
89.82,212.93,43,1.72,1,climbing,
41.7,170.69,43,1.72,1,climbing,
31.93,232.16,43,1.72,1,climbing,
23.63,198.77,43,1.72,1,climbing,
228.72,215.01,44,1.76,1,climbing,
93.68,206.06,44,1.76,1,climbing,
41.67,170.72,44,1.76,1,climbing,
31.88,232.16,44,1.76,1,climbing,
23.02,197.91,44,1.76,1,climbing,
229.79,215.9,45,1.8,1,climbing,
95.73,204.2,45,1.8,1,climbing,
41.67,170.74,45,1.8,1,climbing,
31.93,232.14,45,1.8,1,climbing,
23.1,197.3,45,1.8,1,climbing,
236.39,216.67,46,1.84,1,climbing,
96.74,202.22,46,1.84,1,climbing,
41.69,170.77,46,1.84,1,climbing,
31.95,232.06,46,1.84,1,climbing,
23.55,197.13,46,1.84,1,climbing,
235.93,215.98,47,1.88,1,climbing,
