y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,particle,track_completeness,vial
490.04,943.14,577,140660,0.276,42.82,577,0.1,0,0.0,True,56,0.04827586206896552,5.0
490.32,1133.9,324,140660,0.455,26.46,324,0.1,0,0.0,True,57,0.47586206896551725,6.0
491.43,547.08,369,140660,0.374,23.73,369,0.1,0,0.0,False,58,0.15172413793103448,0.0
491.11,601.88,436,140660,0.418,34.64,436,0.1,0,0.0,True,59,0.9586206896551724,3.0
490.0,211.02,724,140660,0.419,47.73,724,0.0,0,0.0,True,61,0.993103448275862,1.0
490.73,910.81,445,140660,0.431,36.28,445,0.1,0,0.0,True,62,0.9241379310344827,5.0
492.1,722.1,545,140660,0.45,42.0,545,0.1,0,0.0,True,63,0.22758620689655173,4.0
491.9,755.04,262,140660,0.06,15.27,262,0.1,0,0.0,False,64,0.8482758620689655,0.0
493.99,1110.08,310,140660,0.253,21.82,310,0.1,0,0.0,False,65,0.04827586206896552,0.0
494.74,371.78,283,140660,0.356,20.18,283,0.2,0,0.0,False,66,0.06206896551724138,0.0
506.62,1068.07,309,140660,0.445,25.64,309,0.2,0,0.0,True,67,0.06896551724137931,6.0
490.1,397.7,163,140660,0.435,14.46,163,0.1,0,0.0,False,68,0.09655172413793103,0.0
491.72,582.57,370,140660,0.45,35.46,370,0.1,0,0.0,True,69,0.0896551724137931,3.0
419.48571428571427,236.90603174603174,665,140660,0.248,43.56,665,0.0,1,0.04,True,0,1.0,1.0
482.3857142857143,398.24603174603175,364,140660,0.44,25.78,364,0.0,1,0.04,True,1,0.9448275862068966,2.0
425.68571428571425,560.4360317460317,787,140660,0.366,63.84,787,0.0,1,0.04,True,2,0.993103448275862,3.0
428.50571428571425,1156.4760317460318,698,140660,0.281,48.06,698,0.0,1,0.04,True,3,0.47586206896551725,6.0
432.7257142857143,1078.0360317460318,531,140660,0.254,37.55,531,0.0,1,0.04,True,4,1.0,6.0
449.36571428571426,1075.6160317460317,627,140660,0.328,48.06,627,0.0,1,0.04,True,5,0.8827586206896552,6.0
453.5857142857143,1068.0760317460317,583,140660,0.276,42.31,583,0.0,1,0.04,True,6,1.0,6.0
470.5857142857143,546.8360317460317,615,140660,0.255,41.06,615,0.0,1,0.04,True,7,0.5241379310344828,3.0
466.4557142857143,756.5560317460317,668,140660,0.41,48.82,668,0.0,1,0.04,True,8,0.7034482758620689,4.0
469.2257142857143,173.29603174603173,388,140660,0.265,42.31,388,0.1,1,0.04,True,9,0.4827586206896552,1.0
473.4457142857143,1089.6160317460317,472,140660,0.033,48.32,472,0.0,1,0.04,True,10,0.4413793103448276,6.0
473.1557142857143,1098.2760317460318,708,140660,0.443,60.33,708,0.0,1,0.04,True,11,0.9793103448275862,6.0
474.81571428571425,403.10603174603176,640,140660,0.318,47.06,640,0.0,1,0.04,True,12,1.0,2.0
474.2757142857143,1128.1760317460316,820,140660,0.387,62.33,820,0.0,1,0.04,True,13,0.8482758620689655,6.0
474.36571428571426,581.9760317460317,587,140660,0.429,51.82,587,0.0,1,0.04,True,14,0.9793103448275862,3.0
476.48571428571427,391.0860317460317,407,140660,0.284,43.06,407,0.1,1,0.04,True,15,0.993103448275862,2.0
482.06571428571425,1134.1560317460317,455,140660,0.149,35.3,455,0.0,1,0.04,True,16,0.993103448275862,6.0
470.9657142857143,609.0260317460318,576,140660,0.157,39.8,576,0.0,1,0.04,True,17,0.2206896551724138,3.0
476.9657142857143,1107.4760317460318,352,140660,0.376,24.78,352,0.0,1,0.04,True,18,0.11724137931034483,6.0
476.36571428571426,1150.1160317460317,666,140660,0.364,48.57,666,0.0,1,0.04,True,20,1.0,6.0
477.4157142857143,745.5060317460318,827,140660,0.336,61.58,827,0.0,1,0.04,True,21,0.9310344827586207,4.0
477.29571428571427,754.7060317460317,650,140660,0.23,62.33,650,0.0,1,0.04,True,22,0.993103448275862,4.0
477.8957142857143,1068.3160317460317,634,140660,0.415,43.81,634,0.0,1,0.04,True,23,0.9103448275862069,6.0
482.7257142857143,956.6160317460317,308,140660,0.454,26.29,308,0.1,1,0.04,True,25,0.0896551724137931,5.0
477.36571428571426,417.6460317460317,743,140660,0.065,46.56,743,0.0,1,0.04,True,26,0.9793103448275862,2.0
478.30571428571426,765.3160317460317,798,140660,0.454,57.08,798,0.0,1,0.04,True,27,0.2620689655172414,4.0
479.1657142857143,546.4360317460317,441,140660,0.406,38.3,441,0.0,1,0.04,True,28,0.5103448275862069,3.0
